episode,return,steps,died,collected,epsilon
590,0.0,5,1,0,0.94395
591,0.0,9,1,0,0.943855
592,1.0,123,1,2,0.94376
593,0.0,20,1,0,0.943665
594,0.0,13,1,0,0.94357
595,0.0,22,1,0,0.9434750000000001
596,1.0,150,1,2,0.94338
597,0.0,18,1,0,0.943285
598,0.0,5,1,0,0.94319
599,0.0,6,1,0,0.943095
600,1.0,372,1,2,0.9430000000000001
601,0.0,8,1,0,0.942905
602,0.0,47,1,0,0.94281
603,0.0,28,1,0,0.942715
604,0.0,47,1,0,0.94262
605,0.0,14,1,0,0.9425250000000001
606,0.0,10,1,0,0.94243
607,3.0,303,1,3,0.942335
608,0.0,5,1,0,0.94224
609,0.0,18,1,0,0.942145
610,0.0,78,1,1,0.94205
611,0.0,11,1,0,0.941955
612,0.0,123,1,1,0.94186
613,0.0,5,1,0,0.941765
614,3.0,151,1,3,0.94167
615,0.0,29,1,0,0.941575
616,1.0,101,1,2,0.94148
617,0.0,27,1,0,0.941385
618,1.0,42,1,2,0.94129
619,0.0,7,1,0,0.941195
620,0.0,4,1,0,0.9411
621,0.0,13,1,0,0.941005
622,0.0,11,1,0,0.94091
623,0.0,88,1,0,0.940815
624,0.0,21,1,0,0.94072
625,0.0,23,1,0,0.940625
626,0.0,19,1,0,0.94053
627,0.0,15,1,0,0.940435
628,0.0,17,1,0,0.94034
629,1.0,227,1,2,0.940245
630,2.0,161,1,3,0.94015
631,0.0,4,1,0,0.940055
632,0.0,74,1,0,0.93996
633,0.0,35,1,0,0.939865
634,0.0,27,1,0,0.93977
635,1.0,157,1,2,0.939675
636,0.0,13,1,0,0.93958
637,0.0,7,1,0,0.939485
638,0.0,39,1,0,0.9393900000000001
639,1.0,250,1,2,0.939295
640,0.0,21,1,0,0.9392
641,0.0,32,1,0,0.939105
642,0.0,4,1,0,0.93901
643,0.0,110,1,1,0.938915
644,1.0,142,1,2,0.93882
645,0.0,11,1,0,0.938725
646,0.0,20,1,0,0.93863
647,1.0,180,1,2,0.938535
648,0.0,8,1,0,0.93844
649,0.0,14,1,0,0.938345
650,0.0,43,1,0,0.93825
651,0.0,17,1,0,0.938155
652,0.0,30,1,0,0.93806
653,0.0,58,1,1,0.937965
654,0.0,38,1,0,0.93787
655,0.0,21,1,0,0.937775
656,0.0,6,1,0,0.93768
657,0.0,37,1,0,0.937585
658,3.0,119,1,3,0.93749
659,1.0,65,1,2,0.937395
660,0.0,97,1,1,0.9373
661,1.0,164,1,2,0.937205
662,0.0,38,1,0,0.93711
663,0.0,63,1,0,0.937015
664,0.0,10,1,0,0.93692
665,0.0,20,1,0,0.936825
666,2.0,200,1,3,0.93673
667,1.0,152,1,2,0.936635
668,0.0,7,1,0,0.93654
669,0.0,33,1,0,0.936445
670,0.0,10,1,0,0.93635
671,0.0,4,1,0,0.936255
672,0.0,6,1,0,0.93616
673,0.0,37,1,0,0.936065
674,3.0,310,1,3,0.93597
675,0.0,68,1,0,0.935875
676,0.0,14,1,0,0.9357800000000001
677,0.0,37,1,0,0.935685
678,1.0,41,1,2,0.93559
679,0.0,16,1,0,0.935495
680,0.0,9,1,0,0.9354
681,0.0,41,1,0,0.935305
682,0.0,65,1,0,0.93521
683,1.0,98,1,2,0.935115
684,1.0,134,1,2,0.93502
685,0.0,8,1,0,0.934925
686,0.0,14,1,0,0.93483
687,2.0,400,0,3,0.934735
688,1.0,221,1,2,0.93464
689,0.0,4,1,0,0.934545
690,2.0,218,1,3,0.93445
691,0.0,17,1,0,0.934355
692,0.0,4,1,0,0.93426
693,1.0,184,1,2,0.934165
694,0.0,24,1,0,0.93407
695,0.0,8,1,0,0.933975
696,1.0,187,1,2,0.93388
697,0.0,17,1,0,0.933785
698,0.0,17,1,0,0.93369
699,0.0,28,1,1,0.933595
700,4.0,282,0,4,0.9335
701,0.0,38,1,0,0.933405
702,1.0,140,1,2,0.93331
703,1.0,49,1,1,0.933215
704,1.0,163,1,2,0.93312
705,0.0,6,1,0,0.933025
706,0.0,5,1,0,0.93293
707,0.0,10,1,0,0.932835
708,0.0,11,1,0,0.93274
709,4.0,191,0,4,0.932645
710,0.0,6,1,0,0.93255
711,0.0,22,1,0,0.932455
712,0.0,5,1,0,0.93236
713,0.0,19,1,0,0.932265
714,0.0,6,1,0,0.9321699999999999
715,0.0,11,1,0,0.932075
716,0.0,18,1,0,0.93198
717,1.0,278,1,2,0.931885
718,0.0,6,1,0,0.93179
719,1.0,57,1,2,0.9316949999999999
720,3.0,129,1,3,0.9316
721,0.0,5,1,0,0.931505
722,0.0,4,1,0,0.93141
723,1.0,377,1,2,0.931315
724,0.0,12,1,0,0.9312199999999999
725,0.0,8,1,0,0.931125
726,0.0,68,1,1,0.93103
727,0.0,31,1,0,0.930935
728,3.0,103,1,3,0.93084
729,0.0,5,1,0,0.930745
730,1.0,170,1,2,0.93065
731,0.0,30,1,0,0.930555
732,1.0,81,1,2,0.93046
733,0.0,56,1,1,0.930365
734,0.0,3,1,0,0.93027
735,0.0,12,1,0,0.930175
736,0.0,9,1,0,0.93008
737,0.0,63,1,1,0.9299850000000001
738,0.0,7,1,0,0.92989
739,1.0,175,1,2,0.929795
740,0.0,9,1,0,0.9297
741,3.0,374,1,3,0.929605
742,0.0,79,1,0,0.9295100000000001
743,0.0,16,1,0,0.929415
744,0.0,15,1,0,0.92932
745,0.0,3,1,0,0.929225
746,0.0,36,1,0,0.92913
747,1.0,208,1,2,0.929035
748,0.0,18,1,0,0.92894
749,2.0,400,0,3,0.928845
750,0.0,27,1,0,0.92875
751,0.0,24,1,0,0.928655
752,0.0,30,1,0,0.92856
753,0.0,45,1,0,0.928465
754,1.0,323,1,2,0.92837
755,0.0,52,1,1,0.928275
756,0.0,6,1,0,0.92818
757,0.0,11,1,0,0.928085
758,0.0,6,1,0,0.92799
759,1.0,238,1,2,0.927895
760,1.0,257,1,2,0.9278
761,0.0,16,1,0,0.927705
762,0.0,33,1,1,0.92761
763,0.0,4,1,0,0.927515
764,0.0,7,1,0,0.92742
765,0.0,8,1,0,0.927325
766,2.0,400,0,3,0.92723
767,0.0,105,1,0,0.927135
768,0.0,14,1,0,0.92704
769,0.0,119,1,0,0.926945
770,0.0,5,1,0,0.92685
771,0.0,4,1,0,0.926755
772,0.0,31,1,0,0.92666
773,0.0,51,1,0,0.926565
774,0.0,18,1,0,0.92647
775,0.0,3,1,0,0.926375
776,0.0,34,1,0,0.92628
777,0.0,21,1,0,0.926185
778,1.0,163,1,2,0.92609
779,1.0,176,1,2,0.925995
780,1.0,262,1,2,0.9259
781,0.0,6,1,0,0.925805
782,2.0,200,1,3,0.92571
783,0.0,24,1,0,0.925615
784,1.0,361,1,2,0.92552
785,1.0,71,1,2,0.9254249999999999
786,0.0,25,1,0,0.92533
787,4.0,171,0,4,0.925235
788,0.0,30,1,0,0.92514
789,0.0,25,1,0,0.925045
790,0.0,27,1,0,0.92495
791,0.0,19,1,0,0.924855
792,4.0,240,0,4,0.92476
793,0.0,54,1,0,0.9246650000000001
794,0.0,7,1,0,0.92457
795,0.0,8,1,0,0.924475
796,0.0,17,1,0,0.92438
797,0.0,170,1,0,0.924285
798,1.0,76,1,2,0.9241900000000001
799,0.0,13,1,0,0.924095
800,1.0,80,1,2,0.924
801,0.0,5,1,0,0.923905
802,0.0,3,1,0,0.92381
803,0.0,10,1,0,0.9237150000000001
804,0.0,20,1,0,0.92362
805,0.0,12,1,0,0.923525
806,0.0,73,1,0,0.92343
807,0.0,6,1,0,0.923335
808,0.0,19,1,0,0.9232400000000001
809,0.0,11,1,0,0.923145
810,0.0,20,1,0,0.92305
811,0.0,8,1,0,0.922955
